Country Name,Country Code,Series Name,Series Code,2018 [YR2018]
Armenia,ARM,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,39.42308
Armenia,ARM,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,63.94231
Armenia,ARM,Government Effectiveness: Standard Error,GE.STD.ERR,0.2063741
Aruba,ABW,Government Effectiveness: Estimate,GE.EST,1.058392
Aruba,ABW,Government Effectiveness: Number of Sources,GE.NO.SRC,2
Aruba,ABW,Government Effectiveness: Percentile Rank,GE.PER.RNK,80.28846
Aruba,ABW,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,71.15385
Aruba,ABW,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,92.78846
Aruba,ABW,Government Effectiveness: Standard Error,GE.STD.ERR,0.3318715
Australia,AUS,Government Effectiveness: Estimate,GE.EST,1.596495
Australia,AUS,Government Effectiveness: Number of Sources,GE.NO.SRC,7
Australia,AUS,Government Effectiveness: Percentile Rank,GE.PER.RNK,92.78846
Australia,AUS,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,86.53846
Australia,AUS,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,98.55769
Australia,AUS,Government Effectiveness: Standard Error,GE.STD.ERR,0.2221446
Austria,AUT,Government Effectiveness: Estimate,GE.EST,1.453342
Austria,AUT,Government Effectiveness: Number of Sources,GE.NO.SRC,7
Austria,AUT,Government Effectiveness: Percentile Rank,GE.PER.RNK,90.86539
Austria,AUT,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,81.73077
Austria,AUT,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,95.67308
Austria,AUT,Government Effectiveness: Standard Error,GE.STD.ERR,0.2221446
Azerbaijan,AZE,Government Effectiveness: Estimate,GE.EST,-0.1004674
Azerbaijan,AZE,Government Effectiveness: Number of Sources,GE.NO.SRC,8
Azerbaijan,AZE,Government Effectiveness: Percentile Rank,GE.PER.RNK,49.03846
Azerbaijan,AZE,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,35.09615
Azerbaijan,AZE,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,62.5
Azerbaijan,AZE,Government Effectiveness: Standard Error,GE.STD.ERR,0.2233855
"Bahamas, The",BHS,Government Effectiveness: Estimate,GE.EST,0.5391499
"Bahamas, The",BHS,Government Effectiveness: Number of Sources,GE.NO.SRC,3
"Bahamas, The",BHS,Government Effectiveness: Percentile Rank,GE.PER.RNK,71.63461
"Bahamas, The",BHS,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,55.28846
"Bahamas, The",BHS,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,79.32692
"Bahamas, The",BHS,Government Effectiveness: Standard Error,GE.STD.ERR,0.2917387
Bahrain,BHR,Government Effectiveness: Estimate,GE.EST,0.1798774
Bahrain,BHR,Government Effectiveness: Number of Sources,GE.NO.SRC,6
Bahrain,BHR,Government Effectiveness: Percentile Rank,GE.PER.RNK,59.61538
Bahrain,BHR,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,45.67308
Bahrain,BHR,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,73.07692
Bahrain,BHR,Government Effectiveness: Standard Error,GE.STD.ERR,0.2489419
Bangladesh,BGD,Government Effectiveness: Estimate,GE.EST,-0.7483993
Bangladesh,BGD,Government Effectiveness: Number of Sources,GE.NO.SRC,10
Bangladesh,BGD,Government Effectiveness: Percentile Rank,GE.PER.RNK,21.63461
Bangladesh,BGD,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,12.01923
Bangladesh,BGD,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,38.94231
Bangladesh,BGD,Government Effectiveness: Standard Error,GE.STD.ERR,0.2063302
Barbados,BRB,Government Effectiveness: Estimate,GE.EST,0.4269727
Barbados,BRB,Government Effectiveness: Number of Sources,GE.NO.SRC,2
Barbados,BRB,Government Effectiveness: Percentile Rank,GE.PER.RNK,68.75
Barbados,BRB,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,48.07692
Barbados,BRB,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,78.84615
Barbados,BRB,Government Effectiveness: Standard Error,GE.STD.ERR,0.3318715
Belarus,BLR,Government Effectiveness: Estimate,GE.EST,-0.3010303
Belarus,BLR,Government Effectiveness: Number of Sources,GE.NO.SRC,7
Belarus,BLR,Government Effectiveness: Percentile Rank,GE.PER.RNK,40.38462
Belarus,BLR,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,24.51923
Belarus,BLR,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,55.28846
Belarus,BLR,Government Effectiveness: Standard Error,GE.STD.ERR,0.2260143
Belgium,BEL,Government Effectiveness: Estimate,GE.EST,1.171748
Belgium,BEL,Government Effectiveness: Number of Sources,GE.NO.SRC,7
Belgium,BEL,Government Effectiveness: Percentile Rank,GE.PER.RNK,83.65385
Belgium,BEL,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,75.48077
Belgium,BEL,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,91.82692
Belgium,BEL,Government Effectiveness: Standard Error,GE.STD.ERR,0.2221446
Belize,BLZ,Government Effectiveness: Estimate,GE.EST,-0.5938884
Belize,BLZ,Government Effectiveness: Number of Sources,GE.NO.SRC,3
Belize,BLZ,Government Effectiveness: Percentile Rank,GE.PER.RNK,30.28846
Belize,BLZ,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,11.53846
Belize,BLZ,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,50.48077
Belize,BLZ,Government Effectiveness: Standard Error,GE.STD.ERR,0.319281
Benin,BEN,Government Effectiveness: Estimate,GE.EST,-0.5659866
Benin,BEN,Government Effectiveness: Number of Sources,GE.NO.SRC,11
Benin,BEN,Government Effectiveness: Percentile Rank,GE.PER.RNK,32.69231
Benin,BEN,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,17.30769
Benin,BEN,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,42.78846
Benin,BEN,Government Effectiveness: Standard Error,GE.STD.ERR,0.1890158
Bermuda,BMU,Government Effectiveness: Estimate,GE.EST,1.387551
Bermuda,BMU,Government Effectiveness: Number of Sources,GE.NO.SRC,1
Bermuda,BMU,Government Effectiveness: Percentile Rank,GE.PER.RNK,88.94231
Bermuda,BMU,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,74.51923
Bermuda,BMU,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,99.51923
Bermuda,BMU,Government Effectiveness: Standard Error,GE.STD.ERR,0.4585745
Bhutan,BTN,Government Effectiveness: Estimate,GE.EST,0.3588973
Bhutan,BTN,Government Effectiveness: Number of Sources,GE.NO.SRC,5
Bhutan,BTN,Government Effectiveness: Percentile Rank,GE.PER.RNK,67.30769
Bhutan,BTN,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,50.48077
Bhutan,BTN,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,75.48077
Bhutan,BTN,Government Effectiveness: Standard Error,GE.STD.ERR,0.2648508
Bolivia,BOL,Government Effectiveness: Estimate,GE.EST,-0.3220994
Bolivia,BOL,Government Effectiveness: Number of Sources,GE.NO.SRC,9
Bolivia,BOL,Government Effectiveness: Percentile Rank,GE.PER.RNK,39.90385
Bolivia,BOL,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,25
Bolivia,BOL,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,53.84615
Bolivia,BOL,Government Effectiveness: Standard Error,GE.STD.ERR,0.2042724
Bosnia and Herzegovina,BIH,Government Effectiveness: Estimate,GE.EST,-0.6185398
Bosnia and Herzegovina,BIH,Government Effectiveness: Number of Sources,GE.NO.SRC,8
Bosnia and Herzegovina,BIH,Government Effectiveness: Percentile Rank,GE.PER.RNK,28.36539
Bosnia and Herzegovina,BIH,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,15.86539
Bosnia and Herzegovina,BIH,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,42.78846
Bosnia and Herzegovina,BIH,Government Effectiveness: Standard Error,GE.STD.ERR,0.2192134
Botswana,BWA,Government Effectiveness: Estimate,GE.EST,0.3334411
Botswana,BWA,Government Effectiveness: Number of Sources,GE.NO.SRC,11
Botswana,BWA,Government Effectiveness: Percentile Rank,GE.PER.RNK,65.38461
Botswana,BWA,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,54.80769
Botswana,BWA,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,74.51923
Botswana,BWA,Government Effectiveness: Standard Error,GE.STD.ERR,0.1874648
Brazil,BRA,Government Effectiveness: Estimate,GE.EST,-0.4474374
Brazil,BRA,Government Effectiveness: Number of Sources,GE.NO.SRC,11
Brazil,BRA,Government Effectiveness: Percentile Rank,GE.PER.RNK,36.05769
Brazil,BRA,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,21.63461
Brazil,BRA,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,48.07692
Brazil,BRA,Government Effectiveness: Standard Error,GE.STD.ERR,0.1831254
Brunei Darussalam,BRN,Government Effectiveness: Estimate,GE.EST,1.252714
Brunei Darussalam,BRN,Government Effectiveness: Number of Sources,GE.NO.SRC,5
Brunei Darussalam,BRN,Government Effectiveness: Percentile Rank,GE.PER.RNK,87.01923
Brunei Darussalam,BRN,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,76.92308
Brunei Darussalam,BRN,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,93.26923
Brunei Darussalam,BRN,Government Effectiveness: Standard Error,GE.STD.ERR,0.2416333
Bulgaria,BGR,Government Effectiveness: Estimate,GE.EST,0.2718757
Bulgaria,BGR,Government Effectiveness: Number of Sources,GE.NO.SRC,9
Bulgaria,BGR,Government Effectiveness: Percentile Rank,GE.PER.RNK,62.98077
Bulgaria,BGR,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,50.96154
Bulgaria,BGR,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,73.55769
Bulgaria,BGR,Government Effectiveness: Standard Error,GE.STD.ERR,0.1982992
Burkina Faso,BFA,Government Effectiveness: Estimate,GE.EST,-0.5783429
Burkina Faso,BFA,Government Effectiveness: Number of Sources,GE.NO.SRC,11
Burkina Faso,BFA,Government Effectiveness: Percentile Rank,GE.PER.RNK,31.25
Burkina Faso,BFA,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,17.30769
Burkina Faso,BFA,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,42.30769
Burkina Faso,BFA,Government Effectiveness: Standard Error,GE.STD.ERR,0.1907385
Burundi,BDI,Government Effectiveness: Estimate,GE.EST,-1.419982
Burundi,BDI,Government Effectiveness: Number of Sources,GE.NO.SRC,9
Burundi,BDI,Government Effectiveness: Percentile Rank,GE.PER.RNK,8.173077
Burundi,BDI,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,1.923077
Burundi,BDI,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,11.53846
Burundi,BDI,Government Effectiveness: Standard Error,GE.STD.ERR,0.1908892
Cabo Verde,CPV,Government Effectiveness: Estimate,GE.EST,0.3192393
Cabo Verde,CPV,Government Effectiveness: Number of Sources,GE.NO.SRC,8
Cabo Verde,CPV,Government Effectiveness: Percentile Rank,GE.PER.RNK,64.42308
Cabo Verde,CPV,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,51.92308
Cabo Verde,CPV,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,74.51923
Cabo Verde,CPV,Government Effectiveness: Standard Error,GE.STD.ERR,0.2058335
Cambodia,KHM,Government Effectiveness: Estimate,GE.EST,-0.568605
Cambodia,KHM,Government Effectiveness: Number of Sources,GE.NO.SRC,9
Cambodia,KHM,Government Effectiveness: Percentile Rank,GE.PER.RNK,32.21154
Cambodia,KHM,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,16.34615
Cambodia,KHM,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,46.63462
Cambodia,KHM,Government Effectiveness: Standard Error,GE.STD.ERR,0.2191608
Cameroon,CMR,Government Effectiveness: Estimate,GE.EST,-0.7996525
Cameroon,CMR,Government Effectiveness: Number of Sources,GE.NO.SRC,12
Cameroon,CMR,Government Effectiveness: Percentile Rank,GE.PER.RNK,19.71154
Cameroon,CMR,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,12.01923
Cameroon,CMR,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,34.13462
Cameroon,CMR,Government Effectiveness: Standard Error,GE.STD.ERR,0.1805988
Canada,CAN,Government Effectiveness: Estimate,GE.EST,1.716108
Canada,CAN,Government Effectiveness: Number of Sources,GE.NO.SRC,7
Canada,CAN,Government Effectiveness: Percentile Rank,GE.PER.RNK,94.71154
Canada,CAN,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,87.98077
Canada,CAN,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,99.51923
Canada,CAN,Government Effectiveness: Standard Error,GE.STD.ERR,0.2221446
Cayman Islands,CYM,Government Effectiveness: Estimate,GE.EST,1.204366
Cayman Islands,CYM,Government Effectiveness: Number of Sources,GE.NO.SRC,2
Cayman Islands,CYM,Government Effectiveness: Percentile Rank,GE.PER.RNK,85.57692
Cayman Islands,CYM,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,74.51923
Cayman Islands,CYM,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,95.19231
Cayman Islands,CYM,Government Effectiveness: Standard Error,GE.STD.ERR,0.3318715
Central African Republic,CAF,Government Effectiveness: Estimate,GE.EST,-1.720417
Central African Republic,CAF,Government Effectiveness: Number of Sources,GE.NO.SRC,9
Central African Republic,CAF,Government Effectiveness: Percentile Rank,GE.PER.RNK,2.884615
Central African Republic,CAF,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,0.9615384
Central African Republic,CAF,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,8.173077
Central African Republic,CAF,Government Effectiveness: Standard Error,GE.STD.ERR,0.2011058
Chad,TCD,Government Effectiveness: Estimate,GE.EST,-1.528847
Chad,TCD,Government Effectiveness: Number of Sources,GE.NO.SRC,10
Chad,TCD,Government Effectiveness: Percentile Rank,GE.PER.RNK,6.730769
Chad,TCD,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,1.923077
Chad,TCD,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,9.615385
Chad,TCD,Government Effectiveness: Standard Error,GE.STD.ERR,0.1893241
Chile,CHL,Government Effectiveness: Estimate,GE.EST,1.084034
Chile,CHL,Government Effectiveness: Number of Sources,GE.NO.SRC,10
Chile,CHL,Government Effectiveness: Percentile Rank,GE.PER.RNK,81.73077
Chile,CHL,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,75.48077
Chile,CHL,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,88.94231
Chile,CHL,Government Effectiveness: Standard Error,GE.STD.ERR,0.1854095
China,CHN,Government Effectiveness: Estimate,GE.EST,0.4771284
China,CHN,Government Effectiveness: Number of Sources,GE.NO.SRC,10
China,CHN,Government Effectiveness: Percentile Rank,GE.PER.RNK,69.71154
China,CHN,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,58.65385
China,CHN,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,75.48077
China,CHN,Government Effectiveness: Standard Error,GE.STD.ERR,0.1955121
Colombia,COL,Government Effectiveness: Estimate,GE.EST,-0.0852262
Colombia,COL,Government Effectiveness: Number of Sources,GE.NO.SRC,11
Colombia,COL,Government Effectiveness: Percentile Rank,GE.PER.RNK,50
Colombia,COL,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,39.42308
Colombia,COL,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,62.01923
Colombia,COL,Government Effectiveness: Standard Error,GE.STD.ERR,0.1831254
Comoros,COM,Government Effectiveness: Estimate,GE.EST,-1.639134
Comoros,COM,Government Effectiveness: Number of Sources,GE.NO.SRC,6
Comoros,COM,Government Effectiveness: Percentile Rank,GE.PER.RNK,3.846154
Comoros,COM,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,0.9615384
Comoros,COM,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,9.615385
Comoros,COM,Government Effectiveness: Standard Error,GE.STD.ERR,0.2342786
"Congo, Dem. Rep.",COD,Government Effectiveness: Estimate,GE.EST,-1.554787
"Congo, Dem. Rep.",COD,Government Effectiveness: Number of Sources,GE.NO.SRC,10
"Congo, Dem. Rep.",COD,Government Effectiveness: Percentile Rank,GE.PER.RNK,5.769231
"Congo, Dem. Rep.",COD,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,1.442308
"Congo, Dem. Rep.",COD,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,9.615385
"Congo, Dem. Rep.",COD,Government Effectiveness: Standard Error,GE.STD.ERR,0.1877656
"Congo, Rep.",COG,Government Effectiveness: Estimate,GE.EST,-1.217236
"Congo, Rep.",COG,Government Effectiveness: Number of Sources,GE.NO.SRC,10
"Congo, Rep.",COG,Government Effectiveness: Percentile Rank,GE.PER.RNK,10.09615
"Congo, Rep.",COG,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,6.25
"Congo, Rep.",COG,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,16.34615
"Congo, Rep.",COG,Government Effectiveness: Standard Error,GE.STD.ERR,0.1910554
Cook Islands,COK,Government Effectiveness: Estimate,GE.EST,..
Cook Islands,COK,Government Effectiveness: Number of Sources,GE.NO.SRC,..
Cook Islands,COK,Government Effectiveness: Percentile Rank,GE.PER.RNK,..
Cook Islands,COK,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,..
Cook Islands,COK,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,..
Cook Islands,COK,Government Effectiveness: Standard Error,GE.STD.ERR,..
Costa Rica,CRI,Government Effectiveness: Estimate,GE.EST,0.3781868
Costa Rica,CRI,Government Effectiveness: Number of Sources,GE.NO.SRC,8
Costa Rica,CRI,Government Effectiveness: Percentile Rank,GE.PER.RNK,67.78846
Costa Rica,CRI,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,54.80769
Costa Rica,CRI,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,75.48077
Costa Rica,CRI,Government Effectiveness: Standard Error,GE.STD.ERR,0.2086586
Cote d'Ivoire,CIV,Government Effectiveness: Estimate,GE.EST,-0.5705186
Cote d'Ivoire,CIV,Government Effectiveness: Number of Sources,GE.NO.SRC,11
Cote d'Ivoire,CIV,Government Effectiveness: Percentile Rank,GE.PER.RNK,31.73077
Cote d'Ivoire,CIV,"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",GE.PER.RNK.LOWER,17.30769
Cote d'Ivoire,CIV,"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",GE.PER.RNK.UPPER,42.78846
Cote d'Ivoire,CIV,Government Effectiveness: Standard Error,GE.STD.ERR,0.1907385
Croatia,HRV,Government Effectiveness: Estimate,GE.EST,0.4569183
